stock_code,company_name,annual_gross_margin,asset_turnover_annual,cash_share_annual,current_ratio_annual,eps_basic_excl_extra_annual,fcf_share_ttm,inventory_turnover_annual,lt_debt_equity_annual,net_interest_coverage_annual,net_profit_margin_annual,operating_margin_annual,quick_ratio_annual,receivables_turnover_annual,roe_ttm,roi_annual,roa_rfy,tangible_book_annual,total_debt_cagr_5y,total_debt_equity_annual
9900,Gain Plus Holdings Ltd,8.05853,3.27645,0.19737,2.74979,0.06586,-0.05365,-99999.99,0.12985,-99999.99,2.6265,3.59212,-99999.99,5.40328,8.60559,14.22277,8.60559,0.49478,-99999.99,4.82997
9906,Honliv Healthcare Management Grp Co Ltd,32.03793,0.7945,0.30325,0.37286,0.14393,-99999.99,17.56628,15.39274,3.84501,9.38754,18.16599,0.32091,17.74234,-99999.99,26.08803,7.4584,0.68784,-99999.99,116.3828
9909,Powerlong Commercial Management Hlgs Ltd,26.43742,0.61513,4.99667,2.14997,0.50438,1.37463,-99999.99,12.00166,8.86425,11.02245,17.24026,-99999.99,17.27382,8.22835,15.14794,6.78019,3.03143,-99999.99,26.24498
9911,Newborn Town Inc,67.10856,0.55998,0.36157,4.38265,0.09392,0.13755,-99999.99,0.48444,-99999.99,17.55649,12.80008,-99999.99,2.24913,6.8904,11.80536,9.83123,0.71686,-99999.99,1.00229
9913,Chi Kan Holdings Ltd,10.65666,2.89518,0.04441,4.25738,0.0528,-99999.99,-99999.99,0.35034,2655.583,5.77398,7.34195,-99999.99,3.39662,-99999.99,20.79126,16.71672,0.25689,-99999.99,0.63062
9916,Xingye Wulian Service Group Co Ltd,42.71733,0.90271,0.66141,2.10947,0.13435,-99999.99,1701.129,1.92544,-99999.99,19.10309,25.52004,2.10947,7.10745,-99999.99,29.51188,17.24458,0.43547,-99999.99,3.55614
9918,Wise Ally International Holdings Ltd,23.06085,1.26127,0.06931,1.03183,0.02226,-99999.99,4.31527,152.8847,4.3881,3.40421,6.44883,0.76713,4.27058,-0.99533,21.83487,4.29363,0.02436,-99999.99,603.0946
9919,Activation Group Holdings Ltd,29.93892,1.7306,0.25037,1.18415,0.05724,-99999.99,-99999.99,22.13484,12.32406,6.17598,10.84645,-99999.99,3.08542,-0.46369,40.04429,10.68812,0.09433,-99999.99,154.0189
9922,Jiumaojiu International Holdings Ltd,63.50085,1.90021,0.14573,0.48278,0.18841,-99999.99,17.70698,498.238,5.37485,6.88151,11.91553,0.38842,188.0304,-0.19532,23.85376,13.07632,0.14899,-99999.99,839.7534
9923,Yeahka Ltd,28.65498,1.11695,1.60003,1.35222,0.30695,-99999.99,389.2206,-99999.99,20.04231,3.74944,15.61971,1.34693,103.7502,-99999.99,14.07581,4.18794,-2.63281,-99999.99,-99999.99
9926,Akeso Inc,100.0,0.06098,2.25311,10.48725,-0.63672,-99999.99,0.0,-99999.99,-300.7846,-488.7964,-480.7037,10.35764,2.32936,-99999.99,-37.4601,-29.80689,-0.01301,-99999.99,-99999.99
9928,Times Neighborhood Holdings Ltd,28.23318,0.42015,1.22484,2.15153,0.14665,-0.0156,294.2347,1.32814,20.78657,8.81535,13.47253,2.14508,4.66972,6.75738,7.71989,3.70381,1.00061,-99999.99,1.94834
9929,SEM Holdings Ltd,27.58621,1.06487,0.02628,3.44102,0.01312,-99999.99,-99999.99,0.14861,-99999.99,9.97947,13.51293,-99999.99,2.07372,-99999.99,14.33452,10.6268,0.09799,-99999.99,0.87579
9933,GHW International,12.49726,2.61444,0.05457,1.07304,0.04448,-99999.99,10.38239,170.8271,5.2973,1.48048,2.46824,0.76597,12.603,1.25082,14.32096,3.87062,0.17505,-99999.99,448.1434
9936,Ximei Resources Holding Ltd,26.47225,1.20092,0.29783,2.45101,0.35475,-99999.99,3.01872,13.58203,27.2062,11.59622,14.73835,1.65459,5.05078,-99999.99,20.85748,13.92614,1.63289,-99999.99,46.09732
9938,Wah Wo Holdings Group Ltd,24.81729,1.23772,0.18653,11.79456,0.03448,-99999.99,-99999.99,0.11846,310.1035,11.26392,14.6541,-99999.99,3.25045,-99999.99,16.14952,13.94159,0.23552,-99999.99,0.31717
9939,Kintor Pharmaceutical Ltd,-99999.99,0.0,0.80881,1.54726,-11.135,-99999.99,-99999.99,0.62516,-131.9105,-99999.99,-99999.99,-99999.99,-99999.99,-99999.99,-64.07036,-47.61176,0.78744,-99999.99,17.33926
