stock_code,company_name,annual_gross_margin,asset_turnover_annual,cash_share_annual,current_ratio_annual,eps_basic_excl_extra_annual,fcf_share_ttm,inventory_turnover_annual,lt_debt_equity_annual,net_interest_coverage_annual,net_profit_margin_annual,operating_margin_annual,quick_ratio_annual,receivables_turnover_annual,roe_ttm,roi_annual,roa_rfy,tangible_book_annual,total_debt_cagr_5y,total_debt_equity_annual
1,CK Hutchison Holdings Ltd,55.85828,0.24478,35.55976,1.36115,10.32871,6.97156,5.58618,79.90476,9.78333,15.97781,19.78925,1.21145,13.51874,3.38065,5.28105,3.91099,-17.54585,63.26575,92.16711
2,CLP Holdings Limited,-99999.99,0.37904,3.29553,0.71242,1.8433,1.20287,22.05832,35.48316,-99999.99,6.71498,8.92647,0.65039,7.42225,5.66112,3.28832,2.54525,35.31872,-4.9102,47.96693
3,The Hong Kong and China Gas Company Ltd.,46.3332,0.29746,0.46127,0.76925,0.39196,-0.15984,9.00165,43.09063,-99999.99,19.97214,22.33036,0.67892,11.0054,4.96993,7.94549,5.94099,3.44952,3.72671,57.28493
4,Wharf Holdings Ltd,61.19474,0.07187,8.95113,1.55454,1.11089,2.1682,0.14545,24.97935,-99999.99,20.56418,46.63387,0.62121,51.36682,-0.3067,1.8713,1.47796,46.76156,-9.888,32.43137
5,HSBC Holdings plc (Hong Kong),-99999.99,-99999.99,87.08599,-99999.99,2.29485,-99999.99,-99999.99,148.3254,-99999.99,11.33943,17.38026,-99999.99,-99999.99,0.06683,-99999.99,0.33027,62.49064,4.72796,247.2344
6,Power Assets Holdings Ltd,-99999.99,0.01457,2.28463,1.15981,3.3412,-1.82967,-99999.99,3.88457,-99999.99,529.0059,130.5638,-99999.99,2696,6.14002,8.07533,7.70886,40.05694,-20.09424,3.88808
7,Hong Kong Finance Investment Hldg Grp Ld,5.36109,0.1236,0.00517,3.69803,0.16943,-0.02039,0.27767,2.23629,-99999.99,125.9248,178.6352,0.51444,2.82883,15.56452,17.72206,15.56452,0.91684,38.89635,12.25923
8,PCCW Ltd,49.60955,0.38857,0.75418,1.28127,0.08829,1.23253,8.05067,361.8355,4.05638,7.64905,15.28744,1.11875,5.0384,2.12667,3.64919,2.97221,-2.09038,7.43108,380.5251
9,Keyne Ltd,35.0109,0.01467,0.00075,1.20779,-0.08118,-0.01576,0.0212,90.27919,-0.29492,-725.7296,-496.1021,0.04299,997.975,-11.89488,-18.5146,-10.64378,0.19548,18.07236,198.1235
10,Hang Lung Group Limited,73.11076,0.04582,2.68798,0.90337,5.00581,-0.55449,0.62449,30.85088,-99999.99,133.2803,188.4367,0.46319,4.32897,2.25192,9.77557,6.1068,66.18008,-4.75371,34.42614
